year_month,repo_count,total_stars,total_forks,total_issues,question_count,period,period_dummy,ai_ratio
2021-01,13475,174689,38506,5531,141292,Before,0,1.0
2021-02,12098,144870,26442,4624,133047,Before,0,1.0
2021-03,13507,307979,63189,6345,150631,Before,0,1.0
2021-04,13315,105216,20306,5244,137767,Before,0,1.0
2021-05,15082,121163,23871,4624,135508,Before,0,1.0
2021-06,15529,134784,21498,4341,130668,Before,0,1.0
2021-07,14282,154834,22255,10091,125618,Before,0,1.0
2021-08,12655,205859,29090,6537,123866,Before,0,1.0
2021-09,12613,94538,16147,4147,127003,Before,0,1.0
2021-10,12959,231545,34717,4779,143197,Before,0,1.0
2021-11,12902,97074,17825,4273,145064,Before,0,1.0
2021-12,12453,107257,21723,3756,135919,Before,0,1.0
2022-01,13862,94188,16431,3615,143345,Before,0,1.0
2022-02,12804,157691,23475,5883,140358,Before,0,1.0
2022-03,14244,206178,34726,5787,153063,Before,0,1.0
2022-04,14054,126193,19033,4932,141881,Before,0,1.0
2022-05,15144,178173,29348,6453,145398,Before,0,1.0
2022-06,14126,105551,23165,4520,140121,Before,0,1.0
2022-07,14615,178424,21571,5278,138979,Before,0,1.0
2022-08,14240,390264,61214,7992,145229,Before,0,1.0
2022-09,15616,197856,32057,5162,120414,Before,0,1.0
